STATUS | wrapper  | 2015/10/15 17:27:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/10/15 17:27:55 | Launching a JVM...
INFO   | jvm 1    | 2015/10/15 17:27:56 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/10/15 17:27:56 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/10/15 17:27:56 | 
INFO   | jvm 1    | 2015/10/15 17:27:56 | Java Runtime: Oracle Corporation 1.7.0_67 C:\Program Files\Java\jre7
INFO   | jvm 1    | 2015/10/15 17:27:56 |   Heap sizes: current=124928k  free=116270k  max=932352k
INFO   | jvm 1    | 2015/10/15 17:27:56 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=XUozrVRKc9sioXdB -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=12044 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2015/10/15 17:27:56 | Extensions classpath:
INFO   | jvm 1    | 2015/10/15 17:27:56 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2015/10/15 17:27:56 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2015/10/15 17:27:56 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2015/10/15 17:27:56 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2015/10/15 17:27:56 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2015/10/15 17:27:56 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2015/10/15 17:27:56 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@485468d5: startup date [Thu Oct 15 17:27:56 CST 2015]; root of context hierarchy
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | PListStore:[C:\Users\Crystal\Desktop\android push\2\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Crystal\Desktop\android push\2\apache-activemq-5.12.0\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Apache ActiveMQ 5.12.0 (localhost, ID:andy-8984-1444901277550-0:1) is starting
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Listening for connections at: tcp://andy:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Connector openwire started
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Listening for connections at: amqp://andy:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Connector amqp started
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Listening for connections at: stomp://andy:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Connector stomp started
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Listening for connections at: mqtt://andy:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2015/10/15 17:27:57 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2015/10/15 17:27:57 | {}
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | Listening for connections at ws://andy:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | Connector ws started
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | Apache ActiveMQ 5.12.0 (localhost, ID:andy-8984-1444901277550-0:1) started
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2015/10/15 17:27:58 |  INFO | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed
INFO   | jvm 1    | 2015/10/15 17:35:13 |  INFO | Connector vm://localhost started
INFO   | jvm 1    | 2015/10/15 17:50:39 |  WARN | Transport Connection to: tcp://192.168.2.109:52217 failed: java.io.EOFException
INFO   | jvm 1    | 2015/10/15 17:51:45 |  WARN | Transport Connection to: tcp://192.168.2.109:52730 failed: java.io.EOFException
